time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/value_loss,train/approx_kl,train/explained_variance,train/clip_fraction,train/loss,train/learning_rate,train/std
1,1001.0,2048,-1777.841405,9,223,,,,,,,,,,,
2,809.6,4096,-1376.5895386,9,444,2460,-0.006290328902832698,-2.120607457309961,0.2,124.75958924293518,0.011293959,0.8149840235710144,0.0857421875,52.79692459106445,0.0003,0.7070534229278564
3,813.5714285714286,6144,-1711.843942857143,9,656,2470,-0.000624857430375414,-2.1156255789101124,0.2,1646.543407291174,0.0050201295,0.40750443935394287,0.051513671875,788.8942260742188,0.0003,0.6978884339332581
4,772.5,8192,-1415.039082,9,869,2480,-0.00466431371824001,-2.103447227180004,0.2,573.037617623806,0.0050971042,0.7737117558717728,0.035107421875,38.88169860839844,0.0003,0.7005689144134521
5,749.6153846153846,10240,-1544.2816976153847,9,1081,2490,-0.001975766135001322,-2.10991570353508,0.2,2309.9389883995054,0.004965602,0.45865291357040405,0.02353515625,898.1566162109375,0.0003,0.7001978158950806
6,776.1333333333333,12288,-1631.5091306,9,1292,2500,-0.004945992928696796,-2.113898079842329,0.2,2789.7226902008056,0.0047349865,0.7188124656677246,0.0318359375,5285.1875,0.0003,0.7032169103622437
7,741.1052631578947,14336,-1554.858168,9,1506,2510,-0.004538385311025195,-2.1178392015397547,0.2,173.8068521499634,0.008011159,0.9342954754829407,0.08994140625,57.19331359863281,0.0003,0.7037196755409241
8,735.3333333333334,16384,-1465.256088857143,9,1717,2520,-0.0028018390548822936,-2.114009027183056,0.2,2238.443073225021,0.0056157773,0.6991665959358215,0.027685546875,258.8714599609375,0.0003,0.7003308534622192
9,718.68,18432,-1336.11657816,9,1931,2530,-0.002241345828224439,-2.1097167313098906,0.2,2478.819383573532,0.0043912074,0.34601789712905884,0.02021484375,142.88401794433594,0.0003,0.7009159326553345
10,719.5357142857143,20480,-1324.84926225,9,2143,2540,-0.0014588132398785092,-2.110621923953295,0.2,4642.7270778656,0.0035945487,0.6579129695892334,0.011083984375,530.940673828125,0.0003,0.7008684277534485
11,736.6666666666666,22528,-1359.5801564,9,2354,2550,-0.0049075152863224504,-2.1085626386106013,0.2,3174.6391335487365,0.004762962,0.7541695535182953,0.0421875,206.70455932617188,0.0003,0.6990456581115723
12,753.1875,24576,-1442.9771728125,9,2566,2560,-0.004377586689952295,-2.0956090353429317,0.2,329.3525187253952,0.0050462056,0.8500233590602875,0.035107421875,205.6909637451172,0.0003,0.6928136944770813
13,758.0857142857143,26624,-1467.2728593142856,9,2778,2570,-0.0011925795217393898,-2.0873182080686092,0.2,169.91287269592286,0.0059481245,0.8773639500141144,0.048583984375,35.2330436706543,0.0003,0.6923052668571472
14,771.2162162162163,28672,-1483.4170843513514,9,2989,2580,-0.0014308635356428568,-2.080824963748455,0.2,2557.6339560031893,0.0041568726,0.6905104219913483,0.048486328125,1099.66015625,0.0003,0.6894986033439636
15,780.4102564102565,30720,-1487.5801228717949,9,3200,2590,-0.004568969929823652,-2.0747162461280824,0.2,197.21904097795488,0.0046296483,0.9051277115941048,0.057568359375,89.65962982177734,0.0003,0.6876803636550903
16,778.8571428571429,32768,-1466.9311736666666,9,3413,2600,-0.006910383194190217,-2.0608445413410665,0.2,305.44091346263883,0.0061873826,0.7300620973110199,0.06708984375,100.83352661132812,0.0003,0.6792621612548828
17,775.4772727272727,34816,-1443.9061863863635,9,3624,2610,-0.003447132535802666,-2.0522308625280856,0.2,2478.2155517816545,0.004523395,0.6266514360904694,0.0373046875,107.32780456542969,0.0003,0.6810646057128906
18,773.8723404255319,36864,-1462.767539617021,9,3836,2620,-0.003025585681461962,-2.052917870879173,0.2,2097.0604099750517,0.0058358833,0.7488240301609039,0.03603515625,322.93499755859375,0.0003,0.6772898435592651
19,760.2156862745098,38912,-1397.067244745098,9,4050,2630,-0.006570765757351183,-2.0552513144910334,0.2,591.3559620141983,0.0060393494,0.5248096585273743,0.04453125,167.71841430664062,0.0003,0.683384120464325
20,766.811320754717,40960,-1405.6544966603772,9,4261,2640,-0.0025756525152246467,-2.06276728361845,0.2,3790.2950275421144,0.0027275071,0.6986920833587646,0.016064453125,5953.9111328125,0.0003,0.6826958656311035
21,766.6428571428571,43008,-1367.4329596785715,9,4474,2650,-0.007030028951703571,-2.059534215927124,0.2,814.0915172100067,0.0049532447,0.7914945632219315,0.032763671875,306.261474609375,0.0003,0.6806457042694092
22,774.7241379310345,45056,-1408.5022349482758,9,4685,2660,-0.0030876948294462636,-2.0514458276331426,0.2,3181.461307287216,0.003366003,0.6766094267368317,0.023193359375,202.55967712402344,0.0003,0.6776846051216125
23,782.2666666666667,47104,-1414.83713705,9,4896,2670,-0.006192540483607445,-2.0442877493798735,0.2,211.19945762753485,0.008300165,0.925365649163723,0.098046875,212.4009552001953,0.0003,0.6746509075164795
24,789.3225806451613,49152,-1455.4280048064516,9,5107,2680,-0.005322215671185404,-2.0347213581204415,0.2,864.5931773662567,0.004982373,0.7236509621143341,0.061328125,368.86126708984375,0.0003,0.6723043918609619
25,791.5625,51200,-1453.607462234375,9,5318,2690,-0.0042103716332348995,-2.029589459300041,0.2,416.5681964159012,0.0066818804,0.7785182893276215,0.056982421875,53.51015853881836,0.0003,0.6712422370910645
26,792.3880597014926,53248,-1430.6459302985072,9,5531,2700,-0.001873225168674253,-2.0265294276177883,0.2,1944.130281829834,0.0065697343,0.7635108679533005,0.051416015625,604.1948852539062,0.0003,0.669510543346405
27,786.6285714285714,55296,-1433.5593956571429,9,5743,2710,-0.00779436275952321,-2.0111487198621036,0.2,1706.6372586011887,0.0068895337,0.8560730814933777,0.066650390625,125.2005615234375,0.0003,0.6587164402008057
28,789.2638888888889,57344,-1419.9287274722221,9,5954,2720,-0.004460037838362041,-1.9912059877067805,0.2,2671.886929559708,0.004090025,0.6107829213142395,0.03564453125,746.0701293945312,0.0003,0.6567755341529846
29,794.9864864864865,59392,-1453.321125972973,9,6165,2730,-0.0033323703639325684,-1.9898349158465862,0.2,2726.1908022880552,0.0037341532,0.8231152445077896,0.02509765625,1062.0040283203125,0.0003,0.6577066779136658
30,799.7368421052631,61440,-1480.2304477105263,9,6376,2740,-0.004034905809385236,-1.9823160886764526,0.2,229.1387253165245,0.008906918,0.9306211769580841,0.08759765625,247.20753479003906,0.0003,0.6538224220275879
31,804.8974358974359,63488,-1477.3440452307693,9,6588,2750,-0.005171331801102496,-1.9784844890236855,0.2,435.5709631681442,0.0057556746,0.9067446365952492,0.046826171875,308.494873046875,0.0003,0.6536962389945984
32,790.390243902439,65536,-1436.9039735975612,9,6801,2760,-0.005040622732485645,-1.9807000830769539,0.2,118.37027005553246,0.009038948,0.8604082316160202,0.08046875,39.132591247558594,0.0003,0.6560888290405273
33,795.4047619047619,67584,-1443.1823648333334,9,7013,2770,-0.0026519426501181442,-1.9823228687047958,0.2,5432.838142442703,0.0052695028,0.3650885224342346,0.019384765625,246.0915069580078,0.0003,0.6556141376495361
34,786.3295454545455,69632,-1427.4265306931818,9,7226,2780,-0.0031081512512173503,-1.979392208531499,0.2,284.24427424669267,0.0036461703,0.8823411241173744,0.032666015625,85.07538604736328,0.0003,0.6544102430343628
35,791.1,71680,-1440.4651272444444,9,7438,2790,-0.0021647156856488435,-1.9751322004944085,0.2,3803.243090748787,0.0036533086,0.67034512758255,0.0296875,345.5547790527344,0.0003,0.6529799699783325
36,791.9462365591398,73728,-1423.390400860215,9,7650,2800,-0.0035549615895433817,-1.9684692714363337,0.2,277.27062586545946,0.004652283,0.7519807666540146,0.044384765625,78.26069641113281,0.0003,0.6490897536277771
37,789.0833333333334,75776,-1411.0004042395833,9,7862,2810,-0.00288582470457186,-1.9559190947562457,0.2,2107.402831494808,0.0059567457,0.4587096571922302,0.075048828125,225.10215759277344,0.0003,0.6441456079483032
38,793.4081632653061,77824,-1424.780112846939,9,8073,2820,-0.0027536919005797245,-1.9479779284447432,0.2,1560.5122965335845,0.0061183884,0.5039156079292297,0.0349609375,2816.263427734375,0.0003,0.6477299928665161
39,795.28,79872,-1421.6664641099999,9,8284,2830,-0.0027359927771613,-1.9547560133039952,0.2,622.0844560623169,0.0043209833,0.5681743621826172,0.032470703125,208.9769744873047,0.0003,0.6456291079521179
40,795.28,81920,-1426.62187006,9,8496,2840,-0.004023655086348299,-1.9501036137342453,0.2,2330.3195275306703,0.0060694544,0.6561517119407654,0.0427734375,373.24102783203125,0.0003,0.6444395780563354
41,803.75,83968,-1431.4786864100001,9,8707,2850,-0.002762522790726507,-1.9537074275314807,0.2,394.58513581752777,0.0053221816,0.7314289212226868,0.034716796875,73.52416229248047,0.0003,0.6474925875663757
42,799.12,86016,-1383.15409189,9,8920,2860,-0.0024732738493185025,-1.9545435912907123,0.2,3301.7460131645203,0.0038627903,0.6270819008350372,0.0271484375,605.73828125,0.0003,0.6455053687095642
43,799.67,88064,-1390.8807846599998,9,9132,2870,-0.0024418431970843813,-1.9517627656459808,0.2,2298.2558497428895,0.002381307,0.564189612865448,0.02177734375,139.69589233398438,0.0003,0.6461002826690674
44,809.5,90112,-1394.33058153,9,9343,2880,-0.0018583130004117265,-1.9476521179080009,0.2,2287.311612820625,0.003472662,0.6604147553443909,0.02861328125,64.9831771850586,0.0003,0.6414989233016968
45,810.55,92160,-1380.2509963799998,9,9554,2890,-0.00513224433598225,-1.9541720893234014,0.2,188.4620629787445,0.006446557,0.733830451965332,0.08271484375,55.2389030456543,0.0003,0.6514284610748291
46,814.48,94208,-1378.7961377699999,9,9767,2900,-0.004659876385267126,-1.9712405469268561,0.2,92.66188127994538,0.008096147,0.9006288200616837,0.095068359375,16.194477081298828,0.0003,0.6537289619445801
47,813.98,96256,-1364.0296213899999,9,9979,2910,-0.0034226449846755714,-1.9776916354894638,0.2,1773.0308085918427,0.005443898,0.659875214099884,0.041650390625,480.9949951171875,0.0003,0.6558462381362915
48,813.98,98304,-1356.0486682,9,10190,2920,-0.002506173214351293,-1.9810701642185449,0.2,4341.280814218521,0.0039465213,0.34621065855026245,0.018896484375,5851.83984375,0.0003,0.6556597948074341
49,819.52,100352,-1379.8405245400002,9,10403,2930,-0.005100767668045592,-1.9766646854579448,0.2,389.6948202371597,0.007842627,0.5871233344078064,0.0490234375,100.5594482421875,0.0003,0.654056191444397
50,820.52,102400,-1345.8775487,9,10615,2940,-0.0035746960355027115,-1.9724458202719688,0.2,3325.3673813819887,0.0041642007,0.6001755893230438,0.035595703125,674.1253051757812,0.0003,0.6522605419158936
51,811.21,104448,-1303.1905795599998,9,10828,2950,-0.002777924863039516,-1.971732533723116,0.2,4224.367038345337,0.002663937,0.6049554646015167,0.0134765625,676.9324340820312,0.0003,0.6544525623321533
52,811.54,106496,-1318.72533444,9,11039,2960,-0.003606751476036152,-1.9758654776960611,0.2,2278.216295480728,0.00872615,0.33185333013534546,0.04306640625,83.7239990234375,0.0003,0.6542950868606567
53,812.05,108544,-1274.33093861,9,11250,2970,-0.009680129453772678,-1.9759089790284634,0.2,304.7218536376953,0.008799722,0.43820512294769287,0.087255859375,111.27528381347656,0.0003,0.6548211574554443
54,811.12,110592,-1263.9337578299999,9,11462,2980,-0.002750643380568363,-1.9774741720408202,0.2,1532.5202602863312,0.0036208818,0.5925587117671967,0.02763671875,2754.621826171875,0.0003,0.6526401042938232
55,808.27,112640,-1215.4530804100002,9,11675,2990,-0.008381994810770265,-1.9861650671809912,0.2,242.62223107814788,0.010167155,0.5618364810943604,0.08037109375,54.08368682861328,0.0003,0.6605174541473389
56,803.86,114688,-1191.95682297,9,11886,3000,-0.004222511364787351,-2.0039770394563674,0.2,8499.299353790284,0.0037784842,0.30909502506256104,0.015185546875,2183.572265625,0.0003,0.6614704132080078
57,790.19,116736,-1117.70633605,9,12101,3010,-0.004487397339835298,-2.0020411286503075,0.2,2406.514809703827,0.0031326036,0.7266306579113007,0.022314453125,241.8042755126953,0.0003,0.6594358682632446
58,796.57,118784,-1113.82949482,9,12314,3020,-0.004348998342175036,-1.9997761089354753,0.2,6385.23808221817,0.0065063145,0.50914666056633,0.043359375,1748.395751953125,0.0003,0.6599864363670349
59,783.24,120832,-1081.9383616999999,9,12527,3030,-0.0024053156812442467,-2.0013551995158196,0.2,5850.843285942077,0.0023697019,0.5004037320613861,0.00693359375,3042.5947265625,0.0003,0.6603384613990784
60,777.71,122880,-1041.9704613200001,9,12740,3040,-0.0019634642951132262,-2.000346265733242,0.2,5556.50380077362,0.004378048,0.6253673434257507,0.01962890625,2732.155517578125,0.0003,0.6596524715423584
61,773.52,124928,-1005.6770296199998,9,12951,3050,-0.0022907466947799547,-1.9998386796563863,0.2,3697.9107493400575,0.002140343,0.7124063372612,0.012890625,513.109130859375,0.0003,0.6598550081253052
62,767.67,126976,-975.3460398499999,9,13163,3060,-0.003083990910818102,-2.001947766542435,0.2,6010.304105377198,0.0036383609,0.36860984563827515,0.019921875,4050.582275390625,0.0003,0.661354660987854
63,764.37,129024,-953.34751316,9,13376,3070,-0.005236279260134325,-2.0016051825135945,0.2,1737.3762899160386,0.012581348,0.7053255140781403,0.0658203125,108.81482696533203,0.0003,0.6589369773864746
64,755.89,131072,-886.6708259499999,9,13590,3080,-0.004811996591888601,-2.0008348669856786,0.2,2275.0780094623565,0.004963682,0.3638872504234314,0.03349609375,112.69876861572266,0.0003,0.6612996459007263
65,753.99,133120,-878.0420621599999,9,13801,3090,-0.0014314930398541038,-2.006650886684656,0.2,5257.081350612641,0.0029348377,0.573895126581192,0.01171875,1694.702392578125,0.0003,0.6629489660263062
66,744.87,135168,-809.3669229600001,9,14014,3100,-0.004059419119585073,-2.0102016240358354,0.2,2773.5637928009032,0.0038905456,0.7772403508424759,0.025048828125,248.13148498535156,0.0003,0.6643428206443787
67,743.25,137216,-777.8597098999999,9,14226,3110,-0.0029545110613980797,-2.0081542462110518,0.2,4238.591379833221,0.0031094048,0.7253403961658478,0.019189453125,414.8211669921875,0.0003,0.6612047553062439
68,743.77,139264,-749.5526464499999,9,14439,3120,-0.004653010805486702,-2.00097759924829,0.2,2808.3990948677065,0.0058629,0.7451651692390442,0.04296875,4906.564453125,0.0003,0.6599458456039429
69,737.34,141312,-718.3546087299999,9,14651,3130,-0.005375344803906046,-1.995117210224271,0.2,4403.866610527039,0.006201311,0.5562607645988464,0.065966796875,2159.857177734375,0.0003,0.6567345857620239
70,726.63,143360,-635.51660307,9,14867,3140,-0.0043241124651103744,-1.9878495272248984,0.2,3356.243467617035,0.005421706,0.4983764886856079,0.04482421875,676.2503051757812,0.0003,0.6561695337295532
71,724.29,145408,-618.26997063,9,15079,3150,-0.0028897421012516133,-1.9847301863133908,0.2,6681.989016914367,0.004069965,0.5578725636005402,0.032666015625,1228.6646728515625,0.0003,0.6541588306427002
72,719.54,147456,-582.12401876,9,15292,3160,-0.001976047291827854,-1.982870849221945,0.2,2818.890211582184,0.00311398,0.5458075404167175,0.01845703125,334.9918212890625,0.0003,0.6553089618682861
73,689.88,149504,-474.94295396000007,9,15507,3170,-0.0022885725418746007,-1.9866826236248016,0.2,4819.4379573822025,0.0030810172,0.47299569845199585,0.0158203125,3671.916259765625,0.0003,0.656320333480835
74,668.39,151552,-404.37817169000016,9,15721,3180,-0.003957904726848938,-1.9917826402932406,0.2,9149.692433166503,0.0038106334,0.49699413776397705,0.016845703125,5017.34765625,0.0003,0.6583157777786255
75,645.45,153600,-315.59751409,9,15937,3190,-0.005456734356994275,-1.9921933148056268,0.2,5110.3536637306215,0.005172316,0.5656176805496216,0.041162109375,2823.034423828125,0.0003,0.6556887626647949
76,632.49,155648,-262.55122035,9,16150,3200,-0.0034387576364679263,-1.990688095614314,0.2,9010.218783569337,0.0047342507,0.6129519641399384,0.02109375,5031.20751953125,0.0003,0.6574362516403198
77,628.5,157696,-256.15638526,9,16363,3210,-0.0059811486964463255,-1.988065218180418,0.2,3022.2220157146453,0.006306065,0.7721835076808929,0.05390625,115.3595962524414,0.0003,0.6526192426681519
78,611.15,159744,-188.81278092,9,16577,3220,-0.007526983527350239,-1.978189031407237,0.2,1980.9819539546966,0.006373454,0.8402369171380997,0.05419921875,2318.198486328125,0.0003,0.6512159705162048
79,600.97,161792,-164.46102248,9,16791,3230,-0.0054612927466223486,-1.9700443420559168,0.2,6453.26847820282,0.004834423,0.7264453172683716,0.02529296875,1454.7764892578125,0.0003,0.6489757895469666
80,587.0,163840,-111.41994111999996,9,17007,3240,-0.005597217965987511,-1.967365112528205,0.2,3823.4225458145143,0.0055077863,0.8273292928934097,0.05419921875,1140.0379638671875,0.0003,0.6501303911209106
81,579.48,165888,-84.51613543999999,9,17220,3250,-0.003742742466420168,-1.9696397811174393,0.2,7412.085915374756,0.004033733,0.684540867805481,0.026220703125,6643.3056640625,0.0003,0.6501853466033936
82,574.73,167936,-62.78023773999999,9,17431,3260,-0.0050062764348695055,-1.9692989487200976,0.2,3997.00284576416,0.0072020744,0.7379891574382782,0.042333984375,1059.0968017578125,0.0003,0.6503264904022217
83,564.48,169984,-55.558118929999985,9,17646,3270,-0.005928291296004318,-1.96666269749403,0.2,2666.579253578186,0.0071447473,0.4984871745109558,0.055810546875,4765.09814453125,0.0003,0.6477311849594116
84,554.63,172032,-26.31431584000001,9,17862,3280,-0.0018543230238719844,-1.9586406722664833,0.2,5611.066881561279,0.0045522368,0.5396997928619385,0.019921875,1848.349365234375,0.0003,0.6461682915687561
85,534.4,174080,24.4895141,9,18080,3290,-0.0030119013295916374,-1.9546089328825473,0.2,9060.466983413697,0.004404405,0.5146509408950806,0.02314453125,6146.1689453125,0.0003,0.6452953219413757
86,530.83,176128,45.77264516000001,9,18291,3300,-0.00525998283555964,-1.9523164767771959,0.2,9060.044913101196,0.0032414626,0.7434108853340149,0.03173828125,4717.0048828125,0.0003,0.6450565457344055
87,515.38,178176,63.627430240000024,9,18507,3310,-0.0027483880701765885,-1.9485239069908857,0.2,1883.8478228092195,0.0048174746,0.6911745369434357,0.022314453125,197.58499145507812,0.0003,0.6419103145599365
88,502.03,180224,116.89264813999998,9,18721,3320,-0.004323875746194972,-1.9433762729167938,0.2,4145.178987979889,0.0068108276,0.6630085706710815,0.045068359375,2073.8525390625,0.0003,0.6435739994049072
89,512.35,182272,79.5645431,9,18934,3330,-0.005172181963280309,-1.9473387777805329,0.2,6305.710528373718,0.0038329177,0.7675336599349976,0.042919921875,3818.630126953125,0.0003,0.6435022950172424
90,506.95,184320,78.70308196,9,19148,3340,-0.005171429099573288,-1.9491737328469754,0.2,2074.063646030426,0.005404037,0.8686476498842239,0.06044921875,986.6962890625,0.0003,0.6453432440757751
91,507.68,186368,61.74987616999998,9,19359,3350,-0.003393892606254667,-1.9472381588071586,0.2,2491.2564823150633,0.004994033,0.786130741238594,0.038232421875,642.6651611328125,0.0003,0.6416369676589966
92,493.07,188416,88.06558182000002,9,19574,3360,-0.005255898144969251,-1.9385376520454884,0.2,747.1057127952575,0.0056960075,0.8552896827459335,0.040380859375,158.13636779785156,0.0003,0.6403868198394775
93,488.96,190464,91.57688454999999,9,19788,3370,-0.0029865387819882016,-1.9342973615974188,0.2,8216.857105064391,0.0018711243,0.3445139527320862,0.012451171875,4750.60400390625,0.0003,0.6399955153465271
94,460.08,192512,120.62440838999999,9,20008,3380,-0.004538999418218737,-1.9330087821930646,0.2,4810.9897356033325,0.004837161,0.4423002600669861,0.02177734375,477.35107421875,0.0003,0.6392616629600525
95,443.95,194560,138.24007926,9,20228,3390,-0.002203668697620742,-1.9298810064792633,0.2,9047.086569595336,0.0031731422,0.5670717656612396,0.0146484375,5770.78857421875,0.0003,0.6376441717147827
96,436.17,196608,158.42221911000001,9,20443,3400,-0.006552182976884069,-1.9236043345183134,0.2,7268.394355773926,0.0071854233,0.6557567417621613,0.049658203125,1160.66650390625,0.0003,0.6353788375854492
97,422.49,198656,185.6692587,9,20660,3410,-0.004367736841231817,-1.92065160125494,0.2,5105.757653236389,0.005515729,0.8472763001918793,0.040966796875,3091.30419921875,0.0003,0.6360342502593994
98,417.42,200704,204.69166356999997,9,20875,3420,-0.003785586834419519,-1.9215493686497211,0.2,8316.709033966064,0.0032717015,0.6979698538780212,0.02646484375,4742.83642578125,0.0003,0.635842502117157
99,396.55,202752,259.7194797,9,21098,3430,-0.0025651680909504647,-1.9176532600075007,0.2,5061.98750705719,0.0054311706,0.7834223657846451,0.01787109375,3143.76513671875,0.0003,0.6331626176834106
100,398.37,204800,236.47129796000004,9,21313,3440,-0.003419678947830107,-1.9090570580214261,0.2,7562.41900100708,0.0048714653,0.7354558706283569,0.01884765625,2118.832763671875,0.0003,0.6306147575378418
101,367.71,206848,308.91409308999994,9,21533,3450,-0.004341179257608019,-1.8994009289890528,0.2,4714.315154075623,0.005598766,0.7950717657804489,0.044775390625,1724.7872314453125,0.0003,0.6271988153457642
102,351.6,208896,339.5665454799999,9,21755,3460,-0.0009225498324667569,-1.8930387448519468,0.2,9730.02774772644,0.0027518198,0.8161446899175644,0.003759765625,3595.169921875,0.0003,0.6272592544555664
103,352.92,210944,339.57713107,9,21969,3470,-0.002374336251523346,-1.891992222890258,0.2,10450.49182510376,0.0024249733,0.7368000149726868,0.01005859375,4324.7724609375,0.0003,0.6266402006149292
104,344.21,212992,342.49455902000017,9,22185,3480,-0.004110386458341964,-1.8938165586441755,0.2,2863.095276069641,0.0035729734,0.7753806859254837,0.0298828125,579.2022094726562,0.0003,0.6281510591506958
105,348.99,215040,337.31854106,9,22396,3490,-0.003193520280183293,-1.8988035641610623,0.2,7430.981662368775,0.0037508036,0.7418438792228699,0.009765625,5663.068359375,0.0003,0.6285419464111328
106,335.66,217088,389.03003691,9,22614,3500,-0.0017967351108381991,-1.8982121590524912,0.2,3695.33337059021,0.0038199448,0.6627631485462189,0.011669921875,560.0980834960938,0.0003,0.6275143623352051
107,331.49,219136,408.1675363299999,9,22826,3510,-0.0031861988303717227,-1.894678357243538,0.2,8047.383195114136,0.0036498168,0.5250433683395386,0.02177734375,4015.17333984375,0.0003,0.6265933513641357
108,332.27,221184,400.40438035999983,9,23040,3520,-0.006903146596596343,-1.895616500079632,0.2,3325.217396354675,0.0052664443,0.796263799071312,0.05048828125,1515.906005859375,0.0003,0.6287463903427124
109,340.06,223232,376.5875303199999,9,23254,3530,-0.002693771482154261,-1.900399186089635,0.2,3615.5531438827516,0.003454165,0.5626837909221649,0.023779296875,566.1343383789062,0.0003,0.6285108923912048
110,332.42,225280,395.0428340300001,9,23467,3540,-0.004452101525384933,-1.8912704534828664,0.2,2788.152303123474,0.006387761,0.6787923574447632,0.04658203125,1280.72314453125,0.0003,0.6224050521850586
111,345.33,227328,360.62338360999996,9,23682,3550,-0.004970429539389443,-1.879022203758359,0.2,3082.143228149414,0.004860848,0.7619434297084808,0.062060546875,993.1174926757812,0.0003,0.6212892532348633
112,363.31,229376,326.0360209100001,9,23893,3560,-0.001983168604056118,-1.8775479041039944,0.2,2727.158468914032,0.0042923097,0.863474115729332,0.016845703125,298.95806884765625,0.0003,0.6208288669586182
113,372.96,231424,322.98905489000003,9,24108,3570,-0.00519492368621286,-1.8727031588554381,0.2,1371.1659158229827,0.005232592,0.6645312011241913,0.048291015625,320.8991394042969,0.0003,0.6184000968933105
114,371.75,233472,324.9936295200001,9,24326,3580,-0.0025957162764825626,-1.8629490539431572,0.2,6314.468517780304,0.0062355595,0.46958136558532715,0.02841796875,3821.8369140625,0.0003,0.6152620911598206
115,379.91,235520,325.01920559,9,24541,3590,-0.0051395858092291745,-1.859146621450782,0.2,6516.115235328674,0.0069130943,0.5909613966941833,0.0453125,705.8314819335938,0.0003,0.6154987215995789
116,381.15,237568,312.2802308700001,9,24758,3600,-0.0013934154696471524,-1.860831705853343,0.2,6349.268757247924,0.0022390212,0.549762487411499,0.003466796875,4546.609375,0.0003,0.6167024374008179
117,380.04,239616,323.43387762,9,24975,3610,-0.005141021333110984,-1.8604296628385781,0.2,5965.875631713867,0.0074095577,0.776905357837677,0.05380859375,2149.89013671875,0.0003,0.6152328252792358
118,387.49,241664,307.32431144000003,9,25191,3620,-0.0029050940327579157,-1.8560194212943315,0.2,7427.04952583313,0.003145279,0.7208853363990784,0.026611328125,4968.58056640625,0.0003,0.6139880418777466
119,387.11,243712,305.37884978999995,9,25405,3630,-0.0022385597068932837,-1.847163624316454,0.2,4467.870715808868,0.003403964,0.8755139485001564,0.014111328125,3439.037841796875,0.0003,0.6094118356704712
120,400.11,245760,287.34412813,9,25620,3640,-0.0037071103026391937,-1.8336102433502675,0.2,3796.083382892609,0.006353573,0.7603976875543594,0.03798828125,3625.727783203125,0.0003,0.6059510707855225
121,409.13,247808,291.85320952999996,9,25835,3650,-0.008229070474772015,-1.825589655339718,0.2,7720.165236663818,0.006004888,0.4056053161621094,0.039404296875,2176.48388671875,0.0003,0.6040092706680298
