rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/learning_rate,train/loss
-1477.5297679999999,4,0.9038979999999999,9,632.25,2529,259,,,
-1477.3955671249998,8,0.8489499999999998,9,496.875,3975,408,,,
-1388.9558848333334,12,0.8013739999999996,9,435.5833333333333,5227,538,,,
-1378.1413335625,16,0.721574,9,457.9375,7327,754,,,
-1345.82456585,20,0.6398739999999996,9,473.85,9477,974,,,
-1409.0695984166668,24,0.5457100000000004,9,498.125,11955,1227,,,
-1354.186738357143,28,0.4880259999999996,9,481.17857142857144,13473,1384,,,
-1392.3802283750001,32,0.39857399999999976,9,494.59375,15827,1624,,,
-1462.467065138889,36,0.2781899999999997,9,527.6388888888889,18995,1947,,,
-1440.6945725,40,0.20560999999999985,9,522.625,20905,2143,,,
-1472.3614975454548,44,0.11509400000000003,9,529.25,23287,2386,,,
-1483.8514412916666,48,0.05,9,526.5625,25275,2590,,,
-1478.3060829807691,52,0.05,9,515.1346153846154,26787,2747,,,
-1436.6238577142856,56,0.05,9,503.875,28217,2895,,,
-1400.4031325833334,60,0.05,9,510.55,30633,3142,,,
-1408.2103004375,64,0.05,9,511.671875,32747,3358,,,
-1382.8593864705883,68,0.05,9,494.8382352941176,33649,3453,,,
-1398.580486888889,72,0.05,9,504.625,36333,3727,,,
-1389.2005030263158,76,0.05,9,506.9736842105263,38530,3952,,,
-1388.6312636,80,0.05,9,510.4,40832,4187,,,
-1383.0173692738094,84,0.05,9,505.6904761904762,42478,4357,,,
-1384.363650852273,88,0.05,9,514.7159090909091,45295,4644,,,
-1403.0158601195656,92,0.05,9,518.1195652173913,47667,4887,,,
-1432.9956577708333,96,0.05,9,523.2395833333334,50231,5148,57,0.0001,0.9396542310714722
-1421.96847353,100,0.05,9,542.35,54235,5554,1058,0.0001,0.37716174125671387
-1450.1047386599998,104,0.05,9,557.1,58239,5960,2059,0.0001,0.2850763499736786
-1466.32556119,108,0.05,9,578.51,61826,6324,2956,0.0001,0.4475862681865692
-1495.42045912,112,0.05,9,600.74,65301,6677,3825,0.0001,0.25840476155281067
-1511.8093685699998,116,0.05,9,613.91,68718,7025,4679,0.0001,3.3404784202575684
-1516.19034319,120,0.05,9,622.9,71767,7335,5441,0.0001,0.24224843084812164
-1512.6817069900003,124,0.05,9,632.01,75156,7679,6288,0.0001,0.35268980264663696
-1533.9784172100003,128,0.05,9,642.07,77680,7937,6919,0.0001,0.3104700744152069
-1537.48597818,132,0.05,9,658.57,81684,8343,7920,0.0001,0.22379666566848755
-1537.6543394699997,136,0.05,9,664.62,85457,8726,8864,0.0001,0.24746450781822205
-1534.41212199,140,0.05,9,676.29,88534,9039,9633,0.0001,0.18652908504009247
-1505.8380083999996,144,0.05,9,675.34,90821,9273,10205,0.0001,0.3669360280036926
-1510.77821253,148,0.05,9,688.79,94154,9611,11038,0.0001,0.3325476050376892
-1482.1930090700002,152,0.05,9,686.89,95476,9748,11368,0.0001,0.35777008533477783
-1477.6964456800001,156,0.05,9,692.12,97429,9949,11857,0.0001,0.333096981048584
-1475.4827896,160,0.05,9,676.8,98313,10042,12078,0.0001,0.3709632456302643
-1442.7608183500001,164,0.05,9,672.84,100031,10219,12507,0.0001,0.7514563798904419
-1465.9551694299996,168,0.05,9,685.94,102243,10446,13060,0.0001,0.2922128736972809
-1395.6296564200002,172,0.05,9,680.71,104404,10667,13600,0.0001,0.24168488383293152
-1349.3404172,176,0.05,9,669.06,105436,10775,13858,0.0001,0.30072537064552307
-1331.3264886000002,180,0.05,9,659.62,106794,10916,14198,0.0001,15.295289993286133
-1300.8359432299999,184,0.05,9,652.34,107712,11013,14427,0.0001,0.28055906295776367
-1228.40913412,188,0.05,9,631.87,108482,11095,14620,0.0001,0.48426005244255066
-1161.95507625,192,0.05,9,622.31,109898,11241,14974,0.0001,3.1501142978668213
-1097.2903990100003,196,0.05,9,606.77,110908,11348,15226,0.0001,0.4742950201034546
-1071.9573251499999,200,0.05,9,575.7,111805,11442,15451,0.0001,0.26148903369903564
-1032.3416091000001,204,0.05,9,554.06,113645,11631,15911,0.0001,0.24941688776016235
-944.02269476,208,0.05,9,529.5,114776,11750,16193,0.0001,0.3349002003669739
-862.9140490000001,212,0.05,9,502.46,115547,11832,16386,0.0001,0.3203126788139343
-793.9225348699998,216,0.05,9,476.91,116409,11923,16602,0.0001,0.27428337931632996
-740.24360675,220,0.05,9,455.51,117318,12019,16829,0.0001,0.22338052093982697
-692.1198215899999,224,0.05,9,432.15,118371,12129,17092,0.0001,0.1377340853214264
-649.664252,228,0.05,9,421.07,119787,12276,17446,0.0001,0.3942134380340576
-608.0333415499999,232,0.05,9,393.64,121048,12407,17761,0.0001,0.2565676271915436
-556.61369956,236,0.05,9,363.77,121834,12490,17958,0.0001,0.24015557765960693
-509.73854344000006,240,0.05,9,339.36,122470,12559,18117,0.0001,0.2939811944961548
-462.55518777,244,0.05,9,322.29,123050,12622,18262,0.0001,0.21390439569950104
-405.76723825999994,248,0.05,9,296.16,123770,12699,18442,0.0001,0.3224884867668152
-397.1170612500001,252,0.05,9,295.7,125046,12831,18761,0.0001,0.3533748686313629
-380.61606221,256,0.05,9,284.01,125830,12915,18957,0.0001,0.21021312475204468
-365.875515,260,0.05,9,285.62,126875,13024,19218,0.0001,0.1526079624891281
-348.62167211,264,0.05,9,275.64,127595,13101,19398,0.0001,0.2802555561065674
-314.39912671999997,268,0.05,9,260.7,128313,13178,19578,0.0001,0.14886082708835602
-314.72988176,272,0.05,9,246.34,129038,13255,19759,0.0001,0.28496766090393066
-333.34208284,276,0.05,9,248.68,130304,13387,20075,0.0001,0.36536091566085815
-307.56770824,280,0.05,9,241.72,130966,13458,20241,0.0001,0.4495246112346649
-314.21913232,284,0.05,9,240.36,131748,13541,20436,0.0001,15.344871520996094
-358.18496316000005,288,0.05,9,239.76,132458,13617,20614,0.0001,0.19467057287693024
-382.30125913000006,292,0.05,9,233.9,133288,13705,20821,0.0001,0.4002339243888855
-385.79640086,296,0.05,9,235.42,134450,13826,21112,0.0001,0.19331686198711395
-381.6638681900001,300,0.05,9,236.67,135472,13933,21367,0.0001,0.19047407805919647
-363.44390367,304,0.05,9,225.85,136230,14014,21557,0.0001,31.743610382080078
-394.60778538,308,0.05,9,226.06,137382,14134,21845,0.0001,15.150598526000977
-397.68046101999994,312,0.05,9,227.51,138298,14231,22074,0.0001,0.22217294573783875
-409.0807105400001,316,0.05,9,225.4,138949,14301,22237,0.0001,0.21745215356349945
-421.50706120999996,320,0.05,9,223.06,139624,14373,22405,0.0001,0.12753599882125854
-445.42316912,324,0.05,9,228.03,141174,14533,22793,0.0001,0.21402522921562195
-448.24936292,328,0.05,9,224.14,142201,14641,23050,0.0001,0.4047684669494629
-431.20033373999996,332,0.05,9,217.45,142793,14705,23198,0.0001,0.16458873450756073
-430.86389283000005,336,0.05,9,217.65,143599,14791,23399,0.0001,0.3101658225059509
-462.68922561999995,340,0.05,9,221.99,144669,14903,23667,0.0001,0.16723433136940002
-488.79303661,344,0.05,9,231.96,146246,15066,24061,0.0001,0.26991182565689087
-509.22028287,348,0.05,9,235.82,147352,15181,24337,0.0001,0.0546654537320137
-490.87926931999993,352,0.05,9,231.66,148212,15272,24552,0.0001,0.13807499408721924
-512.23304235,356,0.05,9,235.56,149386,15395,24846,0.0001,0.098336361348629
-514.0478705700001,360,0.05,9,235.49,150424,15504,25105,0.0001,0.3463149070739746
-531.48834695,364,0.05,9,235.69,151164,15583,25290,0.0001,0.21080192923545837
-535.6225063200001,368,0.05,9,239.15,152228,15694,25556,0.0001,15.391548156738281
-568.0465593800001,372,0.05,9,248.82,153920,15868,25979,0.0001,0.14080148935317993
-540.4401525900001,376,0.05,9,251.21,155425,16024,26356,0.0001,0.33419662714004517
-524.44239664,380,0.05,9,249.58,155924,16079,26480,0.0001,0.06846094131469727
-496.54017562999996,384,0.05,9,250.29,156777,16169,26694,0.0001,15.063278198242188
-486.80204151000004,388,0.05,9,254.99,157957,16292,26989,0.0001,0.2984100878238678
-495.1255265500001,392,0.05,9,267.09,159997,16501,27499,0.0001,0.15974131226539612
-473.0697305,396,0.05,9,265.49,160999,16607,27749,0.0001,15.061148643493652
-487.08406735000005,400,0.05,9,272.38,162710,16783,28177,0.0001,0.2012426108121872
-514.17313228,404,0.05,9,284.66,164696,16987,28673,0.0001,0.1810097098350525
-536.85024723,408,0.05,9,285.78,165960,17118,28989,0.0001,15.063087463378906
-553.4455299,412,0.05,9,287.7,167068,17234,29266,0.0001,0.13702382147312164
-588.2953300600001,416,0.05,9,301.29,169078,17440,29769,0.0001,15.010674476623535
-590.5664463300001,420,0.05,9,301.95,169819,17519,29954,0.0001,0.0758204385638237
-542.75582981,424,0.05,9,301.2,171294,17672,30323,0.0001,0.20180056989192963
-549.0763963700001,428,0.05,9,312.73,173474,17895,30868,0.0001,14.9484224319458
-574.19258109,432,0.05,9,324.16,175209,18074,31302,0.0001,0.07904860377311707
-584.0502314400001,436,0.05,9,335.99,177198,18278,31799,0.0001,0.08716356009244919
-572.7793511799999,440,0.05,9,344.91,179160,18479,32289,0.0001,0.37654513120651245
-593.31138491,444,0.05,9,345.86,180832,18652,32707,0.0001,0.18632157146930695
-607.60702548,448,0.05,9,350.5,182402,18814,33100,0.0001,0.11146540939807892
-598.7220191800001,452,0.05,9,361.5,184362,19015,33590,0.0001,0.14120756089687347
-565.02124931,456,0.05,9,363.61,185747,19159,33936,0.0001,0.09102459996938705
-575.1409523699999,460,0.05,9,380.56,188480,19437,34619,0.0001,0.03576483204960823
-547.9843727499999,464,0.05,9,381.58,189322,19527,34830,0.0001,14.836474418640137
-533.46094487,468,0.05,9,379.82,190210,19620,35052,0.0001,0.17229577898979187
-522.6299263899999,472,0.05,9,372.76,191196,19724,35298,0.0001,0.3162511885166168
-558.4353243400001,476,0.05,9,367.05,192130,19822,35532,0.0001,0.28624847531318665
-562.11705883,480,0.05,9,376.29,193553,19970,35888,0.0001,0.033018529415130615
-583.4374694200001,484,0.05,9,381.52,194929,20112,36232,0.0001,0.13806085288524628
-585.3907858700001,488,0.05,9,380.16,195973,20222,36493,0.0001,0.09787742048501968
-549.2456079699999,492,0.05,9,370.24,197021,20332,36755,0.0001,0.3767986595630646
-541.1410352999999,496,0.05,9,374.7,198469,20482,37117,0.0001,14.699785232543945
-538.03555465,500,0.05,9,373.21,200031,20644,37507,0.0001,0.32063204050064087
-484.29435635000004,504,0.05,9,363.01,200997,20745,37749,0.0001,15.112512588500977
-448.17066282,508,0.05,9,363.17,202277,20878,38069,0.0001,0.10400795191526413
-427.64163786000006,512,0.05,9,373.23,204391,21095,38597,0.0001,0.11577078700065613
-389.21986233999996,516,0.05,9,365.13,205591,21220,38897,0.0001,0.13941442966461182
-366.04420991,520,0.05,9,372.29,207048,21371,39261,0.0001,0.0702228993177414
-362.41475427000006,524,0.05,9,369.17,208211,21492,39552,0.0001,0.19257061183452606
-334.57890105,528,0.05,9,357.16,209190,21595,39797,0.0001,0.031581852585077286
-282.94754859,532,0.05,9,350.12,210221,21703,40055,0.0001,0.5859802961349487
-289.45047394,536,0.05,9,350.08,212206,21907,40551,0.0001,0.04739056155085564
-273.3850251900001,540,0.05,9,349.39,214099,22101,41024,0.0001,0.22162193059921265
-238.76132823000003,544,0.05,9,345.85,215417,22238,41354,0.0001,0.04305274784564972
-193.78546744,548,0.05,9,339.47,216349,22336,41587,0.0001,0.09822823107242584
-173.71560000000005,552,0.05,9,327.41,217103,22416,41775,0.0001,0.08991707861423492
-169.06773045000006,556,0.05,9,330.1,218757,22587,42189,0.0001,0.04710035026073456
-152.15165700999995,560,0.05,9,316.29,220109,22727,42527,0.0001,0.50676429271698
-165.4853458,564,0.05,9,314.62,220784,22800,42695,0.0001,0.14226794242858887
-143.69247698,568,0.05,9,313.2,221530,22879,42882,0.0001,0.10007461905479431
-145.86696053,572,0.05,9,313.68,222564,22988,43140,0.0001,0.0710289403796196
-100.10343467000001,576,0.05,9,314.17,223547,23091,43386,0.0001,0.1665625274181366
-88.03967157999999,580,0.05,9,313.53,224906,23232,43726,0.0001,0.07809220999479294
-63.64033799,584,0.05,9,306.05,225534,23300,43883,0.0001,15.002835273742676
-17.12400425,588,0.05,9,305.55,226528,23404,44131,0.0001,0.1425357162952423
-11.857943130000006,592,0.05,9,309.66,227987,23555,44496,0.0001,0.1413402259349823
-10.557510570000012,596,0.05,9,310.07,229476,23709,44868,0.0001,15.004046440124512
35.29733862999999,600,0.05,9,301.25,230156,23782,45038,0.0001,0.2442142814397812
9.226714609999995,604,0.05,9,307.35,231732,23945,45432,0.0001,14.689711570739746
33.75242250999998,608,0.05,9,301.5,232427,24019,45606,0.0001,0.45319435000419617
60.43855948999999,612,0.05,9,290.79,233470,24129,45867,0.0001,0.17990466952323914
98.79580926999999,616,0.05,9,290.29,234620,24249,46154,0.0001,0.08367017656564713
80.44759062,620,0.05,9,291.86,236234,24415,46558,0.0001,0.17184624075889587
50.51581915,624,0.05,9,290.17,237228,24519,46806,0.0001,0.13580235838890076
85.61481274999998,628,0.05,9,286.21,237811,24583,46952,0.0001,0.08474787324666977
78.9770178,632,0.05,9,289.81,239202,24727,47300,0.0001,0.19706246256828308
128.55443854,636,0.05,9,284.35,240641,24876,47660,0.0001,0.3727705776691437
139.8261478,640,0.05,9,282.9,242389,25055,48097,0.0001,0.08016367256641388
163.14185972999996,644,0.05,9,277.95,243212,25143,48302,0.0001,0.06142691895365715
181.54729655000003,648,0.05,9,281.15,244464,25273,48615,0.0001,0.0785699263215065
163.09178649999998,652,0.05,9,282.82,245385,25370,48846,0.0001,0.284657746553421
189.04637801000004,656,0.05,9,280.3,246787,25515,49196,0.0001,0.0772889256477356
220.20367995999996,660,0.05,9,272.63,247372,25578,49342,0.0001,0.20831209421157837
250.78552978999997,664,0.05,9,275.36,248320,25678,49579,0.0001,0.10051846504211426
252.7809468,668,0.05,9,282.86,249816,25833,49953,0.0001,0.2916126847267151
